Name,County,State,Industry,Category,Website,Latitude,Longitude
6ixhemp,Douglas,CO,Industrial Processing,Decortication,https://6ixhemp.org/contact/,39.3483,-104.9202
Affordable housing hemp fiber and composites,Boulder,CO,Construction,Other,GAPhousing.com,40.088,-105.3448
Agriculture Policy Solutions,Larimer,CO,Genetics & Testing,Lab Testing,www.agpolicysolutions.com,40.6291,-105.4465
Antedotum Inc.,Pitkin,CO,Industrial Processing,Other End Products,www.antedotum.comm,39.19,-106.81
Apex Herbology LLC,Denver,CO,Genetics & Testing,Lab Testing,apexherbology.com,39.7644,-104.9549
BoCo Farms,Boulder,CO,Genetics & Testing,Seeds and Genetics,,40.0881111,-105.3448
Cabaniss Group LLC,Fremont,CO,Industrial Processing,CBD Extraction,CabanissGroup.com,38.4842,-105.4521
Cloud CO. Farms,Alamosa,CO,Genetics & Testing,Seeds and Genetics,www.cloudcofarms.comm,37.5466,-105.7781
Colorado Hemp Genetics,El Paso,CO,Genetics & Testing,Seeds and Genetics,https://cohempgenetics.com/,38.8296,-104.5628
Colorado Hemp Procesing Cooporative,Denver,CO,Industrial Processing,CBD Extraction,https://cohpc.org/,39.7644111,-104.9549
Dama Distributing,Adams,CO,Equipment & Packaging,Packaging,Damadistributing.com,39.8701,-104.1631
Delta AG,Delta,CO,Industrial Processing,Decortication,https://deltaag.com/,38.9419,-107.804
DRAM Apothecary,Boulder,CO,Food & Drink,Beverage,https://www.dramapothecary.com/,40.0882222,-105.3448
element6 Dynamics,Boulder,CO,Genetics & Testing,Seeds and Genetics,https://element6dynamics.com,40.0883333,-105.3448
Enviro Textiles/Machinery,Garfield,CO,Industrial Processing,Decortication,https://www.envirotextiles.com/,39.7184,-107.5261
EnviroTextiles LLC,Garfield,CO,Industrial Processing,CBD Extraction,www.envirotextiles.com,39.7184111,-107.5261
FarmMax,Denver,CO,Industrial Processing,Decortication,www.farmmax.us,39.7644222,-104.9549
Fat Pig Society,Larimer,CO,Industrial Processing,CBD Extraction,https://fatpigsociety.com/,40.6291111,-105.4465
Fields of Glory Organic Farm,Delta,CO,Industrial Processing,Decortication,FieldsofGlory.org,38.9419111,-107.804
Flora's Mercantile,Adams,CO,Industrial Processing,Other End Products,www.FlorasMercantile.com,39.8701111,-104.1631
Formation Ag,Rio Grande,CO,Industrial Processing,Decortication,https://formation-ag.com/,37.6147,-106.3753
Global Fiber Processing Monte Vista,Rio Grande,CO,Industrial Processing,Decortication,https://www.globalfiberprocessing.com,37.6147111,-106.3753
Globex Extraction Services,Larimer,CO,Industrial Processing,CBD Extraction,https://globexextraction.com/,40.6291222,-105.4465
Gobi Labs,Jefferson,CO,Genetics & Testing,Lab Testing,https://gobilabs.com/,39.5234,-105.2388
Healthy Hemp Homes,Denver,CO,Construction,Insulation,https://www.healthyhemphomes.org/,39.7644333,-104.9549
Hemp Building Company,Longmont,CO,Construction,Insulation,https://www.hempbuildingco.com/,40.16,-105.1
Hemp Processing Partners,Weld,CO,Equipment & Packaging,Equipment,https://hempprocessingpartners.com/our-story/,40.502,-104.5459
Hemp Processing Partners,Weld,CO,Industrial Processing,Decortication,https://hempprocessingpartners.com/our-story/,40.5021111,-104.5459
Hemp Wolf LLC,Denver,CO,Food & Drink,Beverage,HempWolf.com,39.7644444,-104.9549
Hemp.Style,Douglas,CO,Industrial Processing,Other End Products,http://hemp.style,39.3483111,-104.9202
HFF LLC,Pueblo,CO,Industrial Processing,CBD Extraction,Hempfieldsfarm.com,38.1295,-104.5533
IHempx,Boulder,CO,Equipment & Packaging,Equipment,https://ihempx.com/,40.0884444,-105.3448
Ind Hemp,Benton,MT,Industrial Processing,Decortication,https://www.indhemp.com/,47.8,-110.6
Kairos Venture Group Inc,Adams,CO,Industrial Processing,Other End Products,kairosventuregroup.com trojanhorsecannabis.com,39.8701222,-104.1631
Kaycha Labs,Denver,CO,Genetics & Testing,Lab Testing,https://www.kaychalabs.com/,39.7644555,-104.9549
Minova Laboratories,Boulder,CO,Genetics & Testing,Seeds and Genetics,https://minovalabs.com/,40.0885555,-105.3448
NanoLabs CBD,El Paso,CO,Industrial Processing,Other End Products,www.nanolabshemp.com,38.8296111,-104.5628
Nepra Foods,Arapahoe,CO,Food & Drink,Food,https://neprafoods.com/,39.6519,-104.2834
New West Genetics,Larimer,CO,Genetics & Testing,Seeds and Genetics,https://newwestgenetics.com/,40.6291333,-105.4465
Noble Soul Farm,El Paso,CO,Industrial Processing,Decortication,https://noblesoulfarm.com/,38.8296222,-104.5628
Proper Rhino Packaging,Larimer,CO,Industrial Processing,Other End Products,properrhino.com,40.6291444,-105.4465
Pure Vision/Hemp Technology,Weld,CO,Industrial Processing,Decortication,https://www.purevisiontechnology.com/about/about,40.5022222,-104.5459
Result Group,Denver,CO,Genetics & Testing,Lab Testing,www.certifiedhemptesting.com,39.7644666,-104.9549
Rocky Mountain Extraction Services,Weld,CO,Industrial Processing,CBD Extraction,www.rmextract.com,40.5023333,-104.5459
Rocky Mountain Hemp and Western Fiber,Boulder,CO,Construction,Insulation,https://www.rockymountainhemp.farm/,40.0886666,-105.3448
Rocky Mountain Hemp Build,Boulder,CO,Construction,Insulation,https://www.rmhempbuild.com/,40.0887777,-105.3448
Root The Rockies,Elbert,CO,Industrial Processing,Other End Products,www.roottherockies.com,39.2151,-104.189
Salt Creek Hemp,Mesa,CO,Industrial Processing,Other End Products,https://saltcreekhemp.com//,38.9347,-108.5839
Sati Soda,Boulder,CO,Food & Drink,Beverage,https://satisoda.com/,40.0888888,-105.3448
SC Laboratories,Denver,CO,Genetics & Testing,Lab Testing,https://sclabs.com,39.7644777,-104.9549
SLV Hemp,Rio Grande,CO,Industrial Processing,Decortication,https://slvhemp.com/,37.6147222,-106.3753
SpinDrift Sandboards,Costilla,CO,Industrial Processing,Other End Products,https://spindriftsandboards.com/,37.3277,-105.4554
The Community College of Denver,Denver,CO,Genetics & Testing,Lab Testing,www.ccd.edu/cannabis,39.7644888,-104.9549
Triverity Labs,Larimer,CO,Genetics & Testing,Lab Testing,https://www.triveritylabs.com/,40.6291555,-105.4465
"Typhoon Farma, Inc",Montrose,CO,Industrial Processing,Decortication,www.typhoonfarma.com,38.4125,-108.2803
Vantage Hemp Co.,Weld,CO,Industrial Processing,CBD Extraction,www.vantagehemp.com,40.5024444,-104.5459
Viobin,Denver,CO,Food & Drink,Food,www.viobin.com/,39.7644999,-104.9549
Wright-Oakes LLC,Rio Grande,CO,Food & Drink,Food,https://himtp.com/,37.6147333,-106.3753
Wright-Oakes LLC,Rio Grande,CO,Industrial Processing,Decortication,https://himtp.com/,37.6147444,-106.3753
